wnid,synset,gloss,safety
n10476467,"private, buck private, common soldier","an enlisted man of the lowest rank in the Army or Marines; ""our prisoner was just a private and knew nothing of value""",safe
n10378026,"onlooker, looker-on",someone who looks on,safe
n10210911,"interlocutor, conversational partner",a person who takes part in a conversation,safe
n10333601,mother's daughter,a daughter who is favored by and similar to her mother,safe
n10743356,Utopian,"an idealistic (but usually impractical) social reformer; ""a Utopian believes in the ultimate perfectibility of man""",safe
n10639238,"sport, summercater",(Maine colloquial) a temporary summer resident of Maine,safe
n10115946,"funambulist, tightrope walker",an acrobat who performs on a tightrope or slack rope,safe
n10249950,"lawyer, attorney",a professional person authorized to practice law; conducts lawsuits or gives legal advice,safe
n10732010,"trumpeter, cornetist",a musician who plays the trumpet or cornet,safe
n09910222,charioteer,the driver of a chariot,safe
n09990415,"dancer, social dancer",a person who participates in a social gathering arranged for dancing (as a ball),safe
n10441124,pleaser,"a pleasing entertainer; ""he is quite the crowd pleaser""",safe
n09961331,contributor,a writer whose work is published in a newspaper or magazine or as part of a book,safe
n10331841,"mortician, undertaker, funeral undertaker, funeral director",one whose business is the management of funerals,safe
n10297531,"mason, stonemason",a craftsman who works with stone or brick,safe
n09805151,archbishop,a bishop of highest rank,safe
n10086744,field judge,a football official,safe
n09771435,"admirer, adorer","someone who admires a young woman; ""she had many admirers""",safe
n09940725,comedian,an actor in a comedy,safe
n09938991,"colossus, behemoth, giant, heavyweight, titan",a person of exceptional importance and reputation,safe
n09816771,associate,"a person who joins with others in some activity or endeavor; ""he had to consult his associate before continuing""",safe
n10682953,"sweetheart, sweetie, steady, truelove",a person loved by another person,safe
n09944160,committee member,a member of a committee,safe
n10117267,"gagman, gagster, gagwriter",someone who writes comic material for public performers,safe
n09889691,"campaigner, candidate, nominee",a politician who is running for public office,safe
n09840520,baron,a nobleman (in various countries) of varying rank,safe
n10751026,vice chancellor,a deputy or assistant to someone bearing the title of chancellor,safe
n10648237,"stand-in, substitute, relief, reliever, backup, backup man, fill-in","someone who takes the place of another (as when things get dangerous or difficult); ""the star had a stand-in for dangerous scenes""; ""we need extra employees for summer fill-ins""",safe
n09920283,choreographer,someone who creates new dances,safe
n10543937,rusher,someone who migrates as part of a rush to a new gold field or a new territory,safe
n10108089,four-minute man,someone who has run the mile in less that 4 minutes,safe
n10783734,"wireman, wirer",a worker who installs and repairs electric wiring,safe
n10120671,gardener,someone employed to work in a garden,safe
n09878921,bull,an investor with an optimistic market outlook; an investor who expects prices to rise and so buys now for resale later,safe
n10186216,"horse wrangler, wrangler",a cowboy who takes care of the saddle horses,safe
n09976728,creditor,a person to whom money is owed by a debtor; someone to whom an obligation exists,safe
n10154013,"gynecologist, gynaecologist, woman's doctor",a specialist in gynecology,safe
n10482587,promulgator,(law) one who promulgates laws (announces a law as a way of putting it into execution),safe
n09811712,articulator,someone who pronounces words,safe
n10336411,"moviegoer, motion-picture fan",someone who goes to see movies,safe
n10694258,"teacher, instructor",a person whose occupation is teaching,safe
n10171456,"herbalist, herb doctor",a therapist who heals by the use of herbs,safe
n10548681,"salesperson, sales representative, sales rep",a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited),safe
n10489426,psychophysicist,a psychologist trained in psychophysics,safe
n10782940,"winner, victor",the contestant who wins the contest,safe
n10400618,parliamentary agent,a person who is employed to look after the affairs of businesses that are affected by legislation of the British Parliament,safe
n10048612,elder statesman,any influential person whose advice is highly respected,safe
n10417424,personality,"a person of considerable prominence; ""she is a Hollywood personality""",safe
n10363573,novelist,one who writes novels,safe
n10115430,fullback,(football) the running back who plays the fullback position on the offensive team,safe
n10208847,inspector,a high ranking police officer,safe
n10330931,moralist,a philosopher who specializes in morals and moral problems,safe
n10661563,"strategist, strategian",an expert in strategy (especially in warfare),safe
n10245639,"landowner, landholder, property owner",a holder or proprietor of land,safe
n10693824,"taxonomist, taxonomer, systematist",a biologist who specializes in the classification of organisms into groups on the basis of their structure and origin and behavior,safe
n09833536,"baker, bread maker",someone who bakes bread or cake,safe
n10743124,"utilizer, utiliser","someone who puts to good use; ""not all organisms are utilizers of oxygen""; ""the social agencies and their utilizers both objected to the budget cut""",safe
n10730542,trooper,a mounted policeman,safe
n10401639,"partaker, sharer",someone who has or gives or receives a part or a share,safe
n10757050,visiting professor,a professor visiting another college or university to teach for a limited time,safe
n10108464,framer,"someone who writes a new law or plan; ""the framers of the Constitution""",safe
n09917214,chief of staff,the senior officer of a service of the armed forces,safe
n10610465,"sleeper, slumberer",a rester who is sleeping,safe
n10707233,"therapist, healer",a person skilled in a particular type of therapy,safe
n10530383,riding master,someone who teaches horsemanship,safe
n10261624,"light heavyweight, cruiserweight",a professional boxer who weighs between 169 and 175 pounds,safe
n10143725,granter,a person who grants or gives something,safe
n10728117,trencher,someone who digs trenches,safe
n10521100,"repairman, maintenance man, service man",a skilled worker whose job is to repair things,safe
n10039946,dunker,a basketball player who is able to make dunk shots,safe
n09979913,Croesus,a very wealthy man,safe
n10530150,rider,a traveler who actively rides a vehicle (as a bicycle or motorcycle),safe
n10238375,knight,originally a person of noble birth trained to arms and chivalry; today in Great Britain a person honored by the sovereign for personal merit,safe
n10318686,millwright,a workman who designs or erects mills and milling machinery,safe
