wnid,synset,gloss,imageability score
n09924106,city father,an important municipal official,1.2
n10036692,"drum majorette, majorette",a female drum major,1.2
n10280130,"maestro, master","an artist of consummate skill; ""a master of the violin""; ""one of the old masters""",1.2
n10277027,pyromaniac,a person with a mania for setting things on fire,1.2
n09670521,Tarahumara,a member of the Taracahitian people of north central Mexico,1.2
n09745324,"Pennsylvanian, Keystone Stater",a native or resident of Pennsylvania,1.2
n09756049,"abettor, abetter",one who helps or encourages or incites another,1.2
n10002257,"demographer, demographist, population scientist",a scientist who studies the growth and density of populations and their vital statistics,1.2
n10065758,ethnologist,an anthropologist who studies ethnology,1.2
n10087736,filer,a party who files a notice with a law court,1.2
n10524223,respecter,"a person who respects someone or something; usually used in the negative; ""X is no respecter of Y""",1.2
n09741722,Carolinian,a native or resident of the Carolinas,1.2
n09849167,bell founder,a person who casts metal bells,1.2
n09933020,cobber,Australian term for a pal,1.2
n10230216,Khedive,one of the Turkish viceroys who ruled Egypt between 1867 and 1914,1.2
n09779280,agonist,someone involved in a contest or battle (as in an agon),1.2
n10349750,Nazarene,an early name for any Christian,1.2
n10310783,Mesoamerican,a member of one of the various peoples inhabiting Mesoamerica,1.2
n10171219,"herald, trumpeter","(formal) a person who announces important news; ""the chieftain had a herald who announced his arrival with a trumpet""",1.2
n10718665,"tovarich, tovarisch",a comrade (especially in Russian communism),1.2
n09704157,Lancastrian,a member (or supporter) of the house of Lancaster,1.2
n10721708,tragedian,a writer (especially a playwright) who writes tragedies,1.2
n09728137,"Qatari, Katari",a native or inhabitant of Qatar,1.2
n09695514,Bruneian,a native or inhabitant of Brunei,1.2
n09658398,Kamia,a member of a North American Indian people of southeastern California and northwestern Mexico,1.2
n09966470,corporatist,a supporter of corporatism,1.2
n10747548,venerator,someone who regards with deep respect or reverence,1.2
n10212231,internist,a specialist in internal medicine,1.2
n09663248,"Oglala, Ogalala",a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota,1.2
n10263146,limnologist,a specialist in the study of freshwater ponds and lakes,1.2
n10550369,sangoma,a traditional Zulu healer and respected elder,1.2
n10442093,"plier, plyer",someone who plies a trade,1.2
n09657206,Hunkpapa,a member of the Siouan people who constituted a division of the Teton Sioux and who formerly lived in the western Dakotas; they were prominent in resisting the white encroachment into the northern Great Plains,1.2
n10756261,Visigoth,a member of the western group of Goths who sacked Rome and created a kingdom in present-day Spain and southern France,1.2
n10040240,Dutch uncle,a counselor who admonishes frankly and sternly,1.166666667
n10703221,"tertigravida, gravida III",a woman who is pregnant for the third time,1.166666667
n10426454,phonetician,a specialist in phonetics,1.166666667
n09640327,"Chaldean, Chaldaean, Chaldee",an inhabitant of ancient Chaldea,1.166666667
n09665367,Penobscot,a member of the Algonquian people belonging to the Abnaki confederacy and living in the Penobscot valley in northern Maine,1.166666667
n10010767,devisor,someone who devises real property in a will,1.166666667
n09692125,Basotho,a member of a subgroup of people who inhabit Lesotho,1.166666667
n10308066,nonmember,a person who is not a member,1.166666667
n10761519,"vulcanizer, vulcaniser",someone who vulcanizes rubber to improve its strength and resiliency,1.166666667
n10131268,"Girondist, Girondin",a member of the moderate republican party that was in power during the French Revolution; the Girondists were overthrown by their more radical rivals the Jacobins,1.166666667
n10738215,unilateralist,an advocate of unilateralism,1.166666667
n09794668,animist,one who accepts the doctrine of animism,1.166666667
n10318686,millwright,a workman who designs or erects mills and milling machinery,1.166666667
n09732170,Sudanese,a native or inhabitant of Sudan,1.166666667
n09690208,Altaic,any member of the peoples speaking a language in the Altaic language group,1.166666667
n10306890,"Melkite, Melchite",an eastern Christian in Egypt or Syria who adheres to the Orthodox faith as defined by the council of Chalcedon in 451 and as accepted by the Byzantine emperor,1.166666667
n10217208,irreligionist,someone who is indifferent or hostile to religion,1.166666667
n10132502,gleaner,someone who gathers something in small pieces (e.g. information) slowly and carefully,1.166666667
n10801561,Wykehamist,a student enrolled in (or graduated from) Winchester College,1.166666667
n10716864,Tory,a member of political party in Great Britain that has been known as the Conservative Party since 1832; was the opposition party to the Whigs,1.166666667
n09909929,charge d'affaires,the official temporarily in charge of a diplomatic mission in the absence of the ambassador,1.166666667
n10604275,sixth-former,a student in the sixth form,1.166666667
n09696456,Cameroonian,a native or inhabitant of Cameroon,1.166666667
n09783537,"alienee, grantee",someone to whom the title of property is transferred,1.142857143
n09664556,"Paiute, Piute",a member of either of two Shoshonean peoples (northern Paiute and southern Paiute) related to the Aztecs and living in the southwestern United States,1.142857143
n09661873,"Mohican, Mahican",a member of the Algonquian people formerly living in the Hudson valley and eastward to the Housatonic,1.142857143
n09707061,Livonian,a member of the Livonian-speaking people of Latvia,1.142857143
n10539278,Rosicrucian,a member of a secret 17th-century society of philosophers and scholars versed in mystical and metaphysical and alchemical lore,1.142857143
n10240417,kolkhoznik,a member of a kolkhoz,1.142857143
n10116702,futurist,a theologian who believes that the Scripture prophecies of the Apocalypse (the Book of Revelation) will be fulfilled in the future,1.142857143
n09967555,Cossack,a member of a Slavic people living in southern European Russia and Ukraine and adjacent parts of Asia and noted for their horsemanship and military skill; they formed an elite cavalry corps in czarist Russia,1.142857143
n10805501,Zionist,a Jewish supporter of Zionism,1.142857143
n09877750,"Brummie, Brummy","a native or resident of Birmingham, England",1.142857143
n10153414,"guy, cat, hombre, bozo","an informal term for a youth or man; ""a nice guy""; ""the guy's only doing it for some doll""",1.142857143
n09692915,Herero,"a member of a pastoral Bantu people living in Namibia, Botswana, and Angola",1.142857143
n09693244,"Luba, Chiluba",a member of a Bantu people in southeastern Congo,1.142857143
n09649067,Olmec,a member of an early Mesoamerican civilization centered around Veracruz that flourished between 1300 and 400 BC,1.142857143
n09830400,backbencher,a member of the House of Commons who is not a party leader,1.142857143
n09779124,"agnostic, doubter",someone who is doubtful or noncommittal about something,1
n10327987,"Monegasque, Monacan",a native or inhabitant of Monaco,1
n09838621,bantamweight,weighs 115-126 pounds,1
n09711435,Laconian,a resident of Laconia,1
n10738670,Unitarian,adherent of Unitarianism,1
n10060075,entrant,one who enters a competition,1
n10699558,"temporizer, temporiser",someone who temporizes; someone who tries to gain time or who waits for a favorable time,1
n10023264,doge,formerly the chief magistrate in the republics of Venice and Genoa,1
n09684082,Mahayanist,an adherent of Mahayana Buddhism,1
n09702673,Angle,a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons,1
n09906293,"chambermaid, fille de chambre",a maid who is employed to clean and care for bedrooms (now primarily in hotels),1
n09650989,Brule,a member of a group of Siouan people who constituted a division of the Teton Sioux,1
n10209082,"instigator, initiator",a person who initiates a course of action,1
n10213034,intervenor,(law) a party who interposes in a pending proceeding,1
n10182402,"homeopath, homoeopath",a practitioner of homeopathy,1
n10009671,"detractor, disparager, depreciator, knocker",one who disparages or belittles the worth of something,1
n10466918,preserver,someone who keeps safe from harm or danger,1
n10710171,thurifer,an acolyte who carries a thurible,1
n09694664,Bolivian,a native or inhabitant of Bolivia,1
n09712324,Guyanese,a native or inhabitant of Guyana,1
n11346873,"Townes, Charles Townes, Charles Hard Townes",United States physicist who developed the laser and maser principles for producing high-intensity radiation (1915-),1
n10700105,toiler,one who works strenuously,1
n10286282,malik,"the leader of a town or community in some parts of Asia Minor and the Indian subcontinent; ""maliks rule the hinterland of Afghanistan under the protection of warlords""",1
n09965515,coreligionist,someone having the same religion as another person,1
